epoch,train_loss,train_acc,train_auc,train_prauc,val_loss,val_acc,val_auc,val_prauc,val_sens,val_spec,learning_rate,status
0,0.350704,0.5176,0.6196,0.7617,0.313394,0.3810,0.9037,0.9410,0.0370,1.0000,5.00e-05,WARMUP
1,0.330458,0.5882,0.6992,0.7978,0.299665,0.4286,0.9111,0.9525,0.1111,1.0000,5.00e-05,WARMUP
2,0.293506,0.6294,0.7680,0.8590,0.268048,0.8571,0.9432,0.9743,0.8889,0.8000,5.00e-05,WARMUP
3,0.277231,0.7235,0.8162,0.8965,0.220350,0.6905,0.9432,0.9744,0.5185,1.0000,5.00e-05,WARMUP
4,0.276073,0.7147,0.8168,0.8857,0.201573,0.8571,0.9333,0.9688,0.8889,0.8000,5.00e-05,WARMUP
5,0.247085,0.7559,0.8541,0.9152,0.231261,0.6429,0.9432,0.9729,0.4444,1.0000,5.00e-05,WARMUP
6,0.247538,0.7412,0.8567,0.9132,0.193998,0.7381,0.9358,0.9678,0.5926,1.0000,5.00e-05,WARMUP
7,0.251192,0.7676,0.8590,0.9200,0.232774,0.6429,0.9259,0.9619,0.4444,1.0000,5.00e-05,WARMUP
8,0.228570,0.7794,0.8745,0.9275,0.178336,0.8333,0.9185,0.9548,0.8519,0.8000,2.50e-05,WARMUP
9,0.217433,0.7882,0.8819,0.9399,0.187659,0.6905,0.9259,0.9600,0.5185,1.0000,2.50e-05,WARMUP
10,0.216684,0.7794,0.8888,0.9416,0.182782,0.7143,0.9259,0.9619,0.5556,1.0000,2.50e-05,WARMUP
11,0.209878,0.7912,0.8934,0.9420,0.188256,0.6905,0.9259,0.9619,0.5185,1.0000,2.50e-05,WARMUP
12,0.202337,0.7559,0.8986,0.9457,0.181084,0.7143,0.9407,0.9682,0.5556,1.0000,2.50e-05,WARMUP
13,0.214526,0.7882,0.8959,0.9441,0.209453,0.6905,0.9358,0.9665,0.5185,1.0000,2.50e-05,WARMUP
14,0.221067,0.7618,0.8778,0.9357,0.186158,0.6905,0.9358,0.9652,0.5185,1.0000,1.25e-05,WARMUP
15,0.202661,0.7647,0.8971,0.9458,0.195411,0.6905,0.9333,0.9643,0.5185,1.0000,1.25e-05,WARMUP
16,0.193793,0.7794,0.9079,0.9507,0.177393,0.7143,0.9383,0.9663,0.5556,1.0000,1.25e-05,WARMUP
17,0.188597,0.8235,0.9148,0.9560,0.188838,0.6905,0.9358,0.9654,0.5185,1.0000,1.25e-05,WARMUP
18,0.204181,0.7735,0.8943,0.9461,0.168766,0.8333,0.9383,0.9668,0.7407,1.0000,1.25e-05,WARMUP
19,0.195822,0.8118,0.9131,0.9555,0.177080,0.7143,0.9407,0.9677,0.5556,1.0000,1.25e-05,WARMUP
20,0.198162,0.7765,0.9012,0.9484,0.172663,0.7381,0.9407,0.9677,0.5926,1.0000,6.25e-06,BEST
21,0.191671,0.7912,0.9097,0.9520,0.172804,0.7143,0.9481,0.9720,0.5556,1.0000,6.25e-06,BEST
22,0.188929,0.8147,0.9160,0.9565,0.171795,0.7619,0.9506,0.9730,0.6296,1.0000,6.25e-06,BEST
23,0.188703,0.8147,0.9167,0.9546,0.178299,0.7143,0.9481,0.9720,0.5556,1.0000,6.25e-06,NO_IMPROVE
24,0.188103,0.8000,0.9129,0.9551,0.181753,0.7143,0.9481,0.9720,0.5556,1.0000,6.25e-06,NO_IMPROVE
25,0.188392,0.7912,0.9142,0.9540,0.177664,0.7143,0.9506,0.9730,0.5556,1.0000,6.25e-06,NO_IMPROVE
26,0.187636,0.8118,0.9174,0.9576,0.168734,0.8095,0.9506,0.9730,0.7037,1.0000,6.25e-06,BEST
27,0.186851,0.8088,0.9172,0.9560,0.171827,0.7381,0.9481,0.9720,0.5926,1.0000,6.25e-06,NO_IMPROVE
28,0.185993,0.8118,0.9170,0.9584,0.175204,0.7143,0.9506,0.9730,0.5556,1.0000,3.13e-06,NO_IMPROVE
29,0.198881,0.7882,0.9034,0.9502,0.170559,0.7619,0.9506,0.9730,0.6296,1.0000,3.13e-06,NO_IMPROVE
30,0.183620,0.8147,0.9196,0.9587,0.172646,0.7143,0.9506,0.9730,0.5556,1.0000,3.13e-06,NO_IMPROVE
31,0.189703,0.8059,0.9173,0.9570,0.171838,0.7381,0.9506,0.9730,0.5926,1.0000,3.13e-06,NO_IMPROVE
32,0.176532,0.8294,0.9276,0.9649,0.176787,0.7143,0.9506,0.9730,0.5556,1.0000,3.13e-06,NO_IMPROVE
33,0.182603,0.8118,0.9216,0.9595,0.173963,0.7143,0.9481,0.9720,0.5556,1.0000,3.13e-06,NO_IMPROVE
34,0.181489,0.8147,0.9195,0.9589,0.174824,0.7143,0.9481,0.9720,0.5556,1.0000,1.56e-06,NO_IMPROVE
35,0.178021,0.8176,0.9260,0.9623,0.175795,0.7143,0.9481,0.9720,0.5556,1.0000,1.56e-06,NO_IMPROVE
36,0.176416,0.8176,0.9240,0.9620,0.176008,0.7143,0.9481,0.9720,0.5556,1.0000,1.56e-06,NO_IMPROVE
